Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
101,Master Yi,Jungle,49.29%,6.95%,0.66%,5.77,8.35,6.94,4.64,10,16468,27897,8796,60.7,8.95,75.27,12320,20,0
,,,,,,,,,,,,,,,,,,,
102,Miss Fortune,ADC,55.05%,12.62%,1.18%,6.14,8.28,6.1,7.92,11,23167,18490,2931,184.6,1.51,5.18,12848,2,1
,,,,,,,,,,,,,,,,,,,
103,Miss Fortune,Support,45.31%,2.46%,1.18%,6.3,4.09,6.78,10.64,7,18194,16991,1354,47.8,0.46,0.91,10582,27,0
,,,,,,,,,,,,,,,,,,,
104,Mordekaiser,Top,48.56%,0.97%,0.03%,6.14,5.14,6.65,5.52,9,19162,18361,10302,171,1.96,3.5,11220,51,2
,,,,,,,,,,,,,,,,,,,
105,Morgana,Middle,52.67%,1.28%,0.54%,8.04,5.23,5.05,9.55,7,19123,19787,1573,159.1,1.04,4.88,11179,19,7
,,,,,,,,,,,,,,,,,,,
106,Morgana,Support,48.89%,5.89%,0.54%,5.62,2.93,6.13,14.1,8,13068,18089,2060,29,0.28,0.46,10084,16,1
,,,,,,,,,,,,,,,,,,,
107,Nami,Support,53.54%,8.91%,0.09%,8.85,2.12,5.19,15.61,5,9204,15266,11805,13.6,0.1,0.12,9449,3,4
,,,,,,,,,,,,,,,,,,,
108,Nasus,Top,50.10%,5.03%,0.39%,3.98,4.85,5.36,5.27,8,16807,31596,1192,181,1.62,2.96,11408,19,11
,,,,,,,,,,,,,,,,,,,
109,Nautilus,Jungle,46.61%,0.40%,0.03%,7.56,3.82,5.41,10.07,6,11133,25031,5449,41.7,3.61,53.71,9932,48,0
,,,,,,,,,,,,,,,,,,,
110,Nautilus,Support,50.37%,1.86%,0.03%,6.62,2.42,5.87,12.97,6,9718,21659,3834,46.6,0.18,0.43,9307,30,1
,,,,,,,,,,,,,,,,,,,
111,Nautilus,Top,49.83%,0.82%,0.03%,5.48,3.58,5.19,8.83,6,14064,23545,1991,150.2,0.67,1.46,10321,50,1
,,,,,,,,,,,,,,,,,,,
112,Nidalee,Jungle,48.17%,4.12%,0.14%,5.31,7.18,5.98,7.39,9,16153,26692,13819,37.4,10.97,73.77,11324,27,3
,,,,,,,,,,,,,,,,,,,
113,Nocturne,Jungle,50.62%,2.65%,0.06%,4.84,7.9,6.09,6.42,10,15944,27797,10117,51.2,7.75,77.35,12032,24,2
,,,,,,,,,,,,,,,,,,,
114,Nunu,Jungle,46.50%,0.81%,0.02%,4.31,3.44,5.44,10.02,7,9443,34578,13715,39.3,8.99,60.31,10146,45,1
,,,,,,,,,,,,,,,,,,,
115,Nunu,Support,38.64%,0.23%,0.02%,7.14,3.01,7.4,12.01,6,10540,23508,4888,38.1,1.03,3.33,9440,34,2
,,,,,,,,,,,,,,,,,,,
116,Nunu,Top,40.56%,0.31%,0.02%,5.44,4.39,6.71,7.02,8,16137,27507,8125,139,1.61,3.28,10321,57,0
,,,,,,,,,,,,,,,,,,,
117,Olaf,Jungle,46.79%,0.71%,0.04%,4.52,6.26,5.88,7.46,7,14799,34077,9359,51.1,7.67,68.46,11341,39,1
,,,,,,,,,,,,,,,,,,,
118,Olaf,Top,48.78%,1.20%,0.04%,5.39,6.05,6.19,5.66,11,17903,27886,3957,165.6,2.25,2.94,11316,46,4
,,,,,,,,,,,,,,,,,,,
119,Orianna,Middle,51.31%,7.25%,0.23%,6.83,5.63,5.52,8.87,10,18706,16327,1701,172.5,1.84,9.1,11507,13,0
,,,,,,,,,,,,,,,,,,,
120,Ornn,Top,51.25%,8.03%,2.86%,1.55,4.5,5.12,8.45,8,17726,25556,2096,159.9,0.8,1.49,10730,3,2
,,,,,,,,,,,,,,,,,,,
121,Pantheon,Jungle,50.62%,1.05%,0.96%,9.03,7.93,6.24,7.02,10,16111,23526,6628,49.8,5.27,55.02,11254,26,10
,,,,,,,,,,,,,,,,,,,
122,Pantheon,Top,52.81%,3.70%,0.96%,6.28,7.91,6.33,5.79,10,19563,20554,2479,148.5,1.34,2.59,11460,13,10
,,,,,,,,,,,,,,,,,,,
123,Poppy,Jungle,49.05%,0.36%,0.02%,7.52,5.43,5.23,8.37,10,13446,27377,6340,41.9,6.22,61.32,10715,41,1
,,,,,,,,,,,,,,,,,,,
124,Poppy,Support,48.81%,0.34%,0.02%,7.45,3.3,5.69,10.87,7,10530,22351,3858,48.2,0.57,1.55,9503,32,1
,,,,,,,,,,,,,,,,,,,
125,Poppy,Top,49.01%,1.54%,0.02%,4.46,4.39,4.9,7.06,8,15779,26573,2605,151.8,1.12,1.95,10635,48,2
,,,,,,,,,,,,,,,,,,,
126,Quinn,ADC,49.34%,0.35%,0.05%,9.56,8.74,7.37,7.45,10,20807,20765,3306,161.9,2.25,5.42,12521,15,2
,,,,,,,,,,,,,,,,,,,
127,Quinn,Jungle,48.98%,0.47%,0.05%,8.96,8.34,7.74,7.41,10,18083,24242,6734,50.8,7.28,61.55,11742,40,1
,,,,,,,,,,,,,,,,,,,
128,Quinn,Top,50.94%,1.48%,0.05%,5.93,8.04,7.51,6.16,10,20843,20561,2106,157.6,2.2,3.73,11923,37,0
,,,,,,,,,,,,,,,,,,,
129,Rakan,Support,49.79%,7.36%,0.35%,5.34,1.83,5.68,14.65,5,6963,17684,5335,15.7,0.09,0.13,9547,22,9
,,,,,,,,,,,,,,,,,,,
130,Rammus,Jungle,54.57%,4.82%,1.08%,3.7,5.01,5.44,10.75,8,13352,30382,7244,37.7,5.36,64.49,10661,8,1
,,,,,,,,,,,,,,,,,,,
131,Rek'Sai,Jungle,48.01%,2.21%,0.08%,5.13,6.82,5.84,7.44,9,13215,29936,11410,34.6,8.7,69.75,11156,36,4
,,,,,,,,,,,,,,,,,,,
132,Renekton,Top,47.66%,3.63%,0.16%,5.71,5.21,5.87,5.57,8,15689,31199,6495,177.8,2.36,3.37,11397,41,12
,,,,,,,,,,,,,,,,,,,
133,Rengar,Jungle,47.91%,7.90%,1.17%,5.83,8.23,6.74,5.54,11,16954,28635,10568,44.5,9.96,75.47,11860,13,3
,,,,,,,,,,,,,,,,,,,
134,Rengar,Top,49.82%,1.78%,1.17%,12.85,8.38,7.01,4.79,11,19594,25308,5693,153,4.55,7.27,11889,32,0
,,,,,,,,,,,,,,,,,,,
135,Riven,Top,48.40%,8.10%,0.51%,11.71,6.76,6.27,4.68,11,16410,21899,3125,170.4,2.77,4.63,11609,23,1
,,,,,,,,,,,,,,,,,,,
136,Rumble,Top,48.94%,2.54%,0.07%,5.95,5.5,6.09,7.08,7,20814,21779,1633,167.1,1.18,2.84,11138,33,8
,,,,,,,,,,,,,,,,,,,
137,Ryze,Middle,44.64%,3.58%,0.12%,4.96,5.45,5.69,6.38,9,18561,21150,3980,174,2.34,9.43,11260,43,1
,,,,,,,,,,,,,,,,,,,
138,Ryze,Top,44.70%,1.11%,0.12%,6.69,4.82,6.08,5.6,8,18630,21741,3768,181.8,2.19,5.55,11340,52,0
,,,,,,,,,,,,,,,,,,,
139,Sejuani,Jungle,51.58%,3.35%,0.54%,4.8,4.41,4.76,11.15,6,11640,31536,6780,38,5.77,63.87,10502,18,1
,,,,,,,,,,,,,,,,,,,
140,Shaco,Jungle,52.23%,4.05%,0.25%,8.9,7.88,5.88,6.78,11,15586,25050,7411,47,11.38,66.16,11878,12,1
,,,,,,,,,,,,,,,,,,,
141,Shen,Support,54.10%,0.83%,0.13%,10.76,3.04,5.03,13.75,5,8660,21619,4204,49.3,0.32,0.85,9623,18,0
,,,,,,,,,,,,,,,,,,,
142,Shen,Top,52.07%,5.56%,0.13%,5.06,4.11,4.43,9.69,8,13487,25322,2415,151.1,0.94,1.79,10565,15,6
,,,,,,,,,,,,,,,,,,,
143,Shyvana,Jungle,54.16%,6.55%,0.45%,3.79,6.78,5.02,6.4,9,16195,32100,9049,55.3,11.72,78.94,12170,5,3
,,,,,,,,,,,,,,,,,,,
144,Singed,Top,52.70%,3.54%,0.26%,5.85,4.42,6.44,7.61,8,18897,29093,2220,191.5,1.58,1.22,11439,10,1
,,,,,,,,,,,,,,,,,,,
145,Sion,Support,53.65%,0.55%,0.04%,9.8,3.47,6.5,12.65,7,12828,28398,16233,59.1,0.56,1.03,10059,11,3
,,,,,,,,,,,,,,,,,,,
146,Sion,Top,52.81%,2.61%,0.04%,5.71,4.53,5.37,8.19,9,17029,-30546,14794,169.1,1.2,1.49,11124,42,30
,,,,,,,,,,,,,,,,,,,
147,Sivir,ADC,49.43%,3.01%,0.02%,3.58,6.45,6.07,8.3,8,20081,18272,3466,210.4,2.37,7.88,13110,12,3
,,,,,,,,,,,,,,,,,,,
148,Skarner,Jungle,49.29%,0.72%,0.01%,4.32,4.66,5.27,8.6,6,10630,26704,7171,38.1,7.55,73.26,10825,42,1
,,,,,,,,,,,,,,,,,,,
149,Sona,Support,54.34%,8.76%,0.73%,6.64,3.11,6.21,14.2,8,12661,16631,10597,17.6,0.24,0.4,9849,2,1
,,,,,,,,,,,,,,,,,,,
150,Soraka,Support,52.35%,6.96%,0.90%,6.4,1.1,5.53,14.97,4,5941,13656,20433,15,0.07,0.15,9243,6,2
,,,,,,,,,,,,,,,,,,,
151,Swain,Middle,49.41%,0.62%,0.05%,9.81,5.56,5.92,7.69,7,21372,28701,10154,158.8,1.35,6.42,11045,40,7
,,,,,,,,,,,,,,,,,,,
152,Swain,Top,50.33%,1.31%,0.05%,7.66,4.59,5.69,7.07,8,21145,28969,10300,171.8,1.25,3.16,11144,30,4
,,,,,,,,,,,,,,,,,,,
153,Syndra,Middle,46.91%,3.98%,0.34%,5.62,6.21,6.41,6.27,10,19508,17629,1768,173.6,1.61,7.85,11522,39,2
,,,,,,,,,,,,,,,,,,,
154,Tahm Kench,Support,49.73%,2.38%,0.13%,4.49,2.8,5.31,11.85,6,9762,24930,6234,44.8,0.21,0.35,9248,29,3
,,,,,,,,,,,,,,,,,,,
155,Tahm Kench,Top,49.21%,1.23%,0.13%,7.11,5.33,5.16,7.04,7,16496,31396,5920,146.3,1.04,1.64,10753,43,4
,,,,,,,,,,,,,,,,,,,
156,Taliyah,Middle,50.06%,2.74%,0.04%,5.88,6.39,6.38,8,8,21671,19518,2387,167.4,1.9,8.15,11541,28,12
,,,,,,,,,,,,,,,,,,,
157,Talon,Middle,51.33%,3.13%,0.43%,6.49,9.4,6.91,5.62,11,20760,23452,3949,160.7,2.34,5.23,12218,15,4
,,,,,,,,,,,,,,,,,,,
158,Talon,Top,51.14%,0.75%,0.43%,11.56,8.46,6.71,4.92,9,20402,23074,3815,168.7,2.13,2.87,12038,28,0
,,,,,,,,,,,,,,,,,,,
159,Taric,Support,55.00%,3.30%,0.09%,4.94,1.67,4.71,14.53,4,5922,19705,10293,42,0.12,0.16,8981,13,1
,,,,,,,,,,,,,,,,,,,
160,Teemo,Support,51.19%,2.14%,1.92%,14.37,5.32,7.31,9.27,9,23636,18668,1837,42.9,1.22,1.56,10965,9,0
,,,,,,,,,,,,,,,,,,,
161,Teemo,Top,54.26%,8.34%,1.92%,6.17,5.78,6.24,5.68,10,25323,20739,3134,175.2,2.26,2.92,11769,2,0
,,,,,,,,,,,,,,,,,,,
162,Thresh,Support,50.07%,16.99%,0.84%,10.62,2.41,5.84,14.53,6,8263,20702,2906,31,0.11,0.12,8972,7,1
,,,,,,,,,,,,,,,,,,,
163,Tristana,ADC,51.14%,12.96%,0.94%,4.76,8.04,5.85,6.34,12,19800,18924,3383,189,2.5,8.46,12923,5,0
,,,,,,,,,,,,,,,,,,,
164,Trundle,Jungle,49.59%,0.65%,0.04%,5.75,5.58,5.26,8.02,7,12903,34480,15680,48.6,7.44,65.49,11140,34,1
,,,,,,,,,,,,,,,,,,,
165,Trundle,Top,49.19%,1.81%,0.04%,3.9,4.37,5.25,6.21,7,14373,32475,10264,168.3,2.03,2.89,11043,45,7
,,,,,,,,,,,,,,,,,,,
166,Tryndamere,Jungle,49.87%,0.58%,0.13%,13.07,6.25,5.79,5.47,9,14440,34525,14193,71.6,10.99,72.63,12186,25,1
,,,,,,,,,,,,,,,,,,,
167,Tryndamere,Top,48.97%,2.19%,0.13%,6.62,5.52,6.07,4.14,10,15716,30683,7935,190.3,6.07,7.03,12198,40,4
,,,,,,,,,,,,,,,,,,,
168,Twisted Fate,Middle,52.55%,4.59%,0.16%,6.17,5.75,6.03,8.17,11,18249,19647,2584,160.2,1.39,7.22,11867,23,4
,,,,,,,,,,,,,,,,,,,
169,Twitch,ADC,53.19%,7.13%,1.22%,6.58,9.25,6.58,7.19,13,22055,19122,3081,178.2,2.55,8.73,13131,3,1
,,,,,,,,,,,,,,,,,,,
170,Twitch,Jungle,48.79%,2.35%,1.22%,9.92,8.9,7.28,7,12,19025,23276,6464,57.2,6.71,65.77,12226,19,2
,,,,,,,,,,,,,,,,,,,
171,Udyr,Jungle,52.79%,4.69%,0.42%,3.74,6.7,5.71,5.81,8,13295,28645,9744,48,11.92,73.97,11795,10,4
,,,,,,,,,,,,,,,,,,,
172,Udyr,Top,46.24%,0.62%,0.42%,8.16,5.07,6.28,4.28,8,13786,26603,4762,161.3,4.21,5.84,11275,55,1
,,,,,,,,,,,,,,,,,,,
173,Urgot,Top,51.29%,3.26%,0.56%,3.89,6.66,5.58,5.54,9,18353,24463,2860,170.2,1.45,2.42,11686,14,3
,,,,,,,,,,,,,,,,,,,
174,Varus,ADC,49.35%,8.70%,0.09%,5.72,7.17,6.31,7.6,10,19777,18060,3193,188.2,2.12,8.06,12681,14,2
,,,,,,,,,,,,,,,,,,,
175,Vayne,ADC,51.59%,26.64%,2.69%,8.22,8.58,6.72,5.8,12,20478,19777,3398,184,2.37,7.97,12897,4,0
,,,,,,,,,,,,,,,,,,,
176,Veigar,Middle,53.24%,3.97%,0.27%,4.5,7.71,6.17,6.35,10,21197,17659,1656,172.3,1.58,6.57,12030,8,2
,,,,,,,,,,,,,,,,,,,
177,Veigar,Support,48.37%,1.21%,0.27%,7.59,5.81,7.24,9.51,8,17028,17476,1434,53.8,0.8,2.11,10995,26,2
,,,,,,,,,,,,,,,,,,,
178,Vel'Koz,Middle,52.24%,2.12%,0.09%,8.48,6.75,6,7.85,8,23762,17092,1773,162.2,1.15,5.42,11612,18,3
,,,,,,,,,,,,,,,,,,,
179,Vel'Koz,Support,48.90%,1.95%,0.09%,9.42,5.07,6.76,10.29,8,21396,16836,1411,46.7,0.63,1.45,10902,17,5
,,,,,,,,,,,,,,,,,,,
180,Vi,Jungle,52.10%,5.36%,0.09%,4.95,7.13,6.18,7.12,9,14935,25226,6997,40.9,7.71,72.76,11563,23,8
,,,,,,,,,,,,,,,,,,,
181,Viktor,Middle,47.58%,2.44%,0.03%,5.56,6.09,6.01,6.49,9,21304,16957,1616,178,1.73,8.6,11601,35,4
,,,,,,,,,,,,,,,,,,,
182,Vladimir,Middle,51.08%,3.21%,1.08%,6.72,6.36,5.81,6.32,9,21967,28678,20267,173.6,1.42,3.32,11369,20,4
,,,,,,,,,,,,,,,,,,,
183,Vladimir,Top,49.16%,2.81%,1.08%,7.62,5.15,5.81,5.74,9,20800,28781,20403,179.4,1.25,2.43,11204,18,3
,,,,,,,,,,,,,,,,,,,
184,Volibear,Jungle,48.09%,0.73%,0.02%,4.28,6.03,5.66,8.19,8,13384,34266,7137,44.1,5.83,64.29,10985,38,1
,,,,,,,,,,,,,,,,,,,
185,Volibear,Top,48.22%,0.41%,0.02%,5.03,5.64,5.63,6.08,7,15487,31976,2561,151.8,1.71,2.63,10947,53,6
,,,,,,,,,,,,,,,,,,,
186,Warwick,Jungle,53.48%,5.21%,0.37%,5.7,7.38,6.22,7.62,8,13814,35555,16145,41.3,7.79,66.14,11494,9,3
,,,,,,,,,,,,,,,,,,,
187,Wukong,Jungle,51.39%,1.64%,0.11%,6.62,8.22,6.07,6.71,10,17489,26114,8471,49.3,6.75,68.24,11842,22,3
,,,,,,,,,,,,,,,,,,,
188,Wukong,Top,52.88%,1.97%,0.11%,7.03,7.86,6.11,5.56,10,19542,21778,2655,157.1,1.66,3.04,11745,25,8
,,,,,,,,,,,,,,,,,,,
189,Xayah,ADC,49.60%,11.04%,1.28%,5.48,7.31,6.17,6.88,11,20495,18328,3189,192,2.41,8.49,12783,10,2
,,,,,,,,,,,,,,,,,,,
190,Xerath,Middle,54.41%,4.33%,0.23%,5.41,6.7,5.16,8.54,8,24668,15142,1491,173.3,1.28,7.15,11822,3,2
,,,,,,,,,,,,,,,,,,,
191,Xerath,Support,50.53%,2.16%,0.23%,12.29,4.89,6.01,10.96,8,20646,15050,1122,48.2,0.63,1.49,10823,12,2
,,,,,,,,,,,,,,,,,,,
192,Xin Zhao,Jungle,55.28%,7.34%,1.40%,4.14,7.32,6,6.9,10,16545,30865,13490,43.5,9.16,69.04,11666,1,6
,,,,,,,,,,,,,,,,,,,
193,Yasuo,Middle,48.09%,8.78%,3.90%,11.26,7.06,7.56,5.25,10,-977,21673,2187,177.5,3.91,6.61,12087,32,14
,,,,,,,,,,,,,,,,,,,
194,Yasuo,Top,48.19%,10.31%,3.90%,10.92,6.09,7.36,4.61,10,17265,22053,2148,190.5,3.68,5.6,12107,4,1
,,,,,,,,,,,,,,,,,,,
195,Yorick,Top,54.43%,3.45%,0.36%,5.72,4.77,5.37,4.88,7,18862,27535,5726,185.8,1.42,1.69,11485,9,4
,,,,,,,,,,,,,,,,,,,
196,Zac,Jungle,48.87%,2.44%,0.22%,5.64,4.24,4.56,11.41,8,11685,35168,26316,37,4.73,63.42,10336,28,1
,,,,,,,,,,,,,,,,,,,
197,Zed,Middle,51.29%,13.63%,6.12%,6.7,9.53,6.58,5.35,12,21641,21193,3350,163.1,1.79,4.55,12247,1,0
,,,,,,,,,,,,,,,,,,,
198,Ziggs,Middle,52.71%,2.21%,0.03%,5.1,6.03,5.81,7.67,8,24139,16384,1477,177.4,1.55,7.27,11901,12,3
,,,,,,,,,,,,,,,,,,,
199,Zilean,Middle,53.13%,0.87%,0.07%,8.4,4.05,4.62,10.05,7,16666,19443,8047,165.4,1.1,5.5,10876,24,1
,,,,,,,,,,,,,,,,,,,
200,Zilean,Support,50.17%,1.89%,0.07%,7.05,2.84,5.53,13.17,6,12269,16969,6541,41.2,0.37,0.69,10184,20,5
,,,,,,,,,,,,,,,,,,,
201,Zoe,Middle,48.65%,25.08%,7.21%,NaN,7.23,7.46,6.91,11,22499,18498,2098,135.7,0.99,4.41,10986,6,0
,,,,,,,,,,,,,,,,,,,
202,Zoe,Support,43.77%,6.89%,7.21%,NaN,5.01,8.28,9.48,11,18520,17989,1801,38.2,0.53,1.38,10383,10,0
,,,,,,,,,,,,,,,,,,,
203,Zyra,Support,48.93%,3.40%,0.13%,7.06,3.92,6.92,10.96,7,20031,16857,1349,41.3,0.53,1.12,10636,23,2
